Cohort,Name,Grade,Empathy Skills,Advocacy Skills,Purpose,Number of Social Impact Classes,Number of sign ups on Mobile Serve,Students reflection on empathy beginning of year,Students reflection on empathy end of year,Empathy Year Delta,Students reflection on advocacy beginning of year,Students reflection on advocacy end of year,Advocacy Year Delta,Students reflection on purpose beginning of year,Students reflection on purpose end of year,Purpose Delta,Teacher feedback on the above areas of growth,Students reflection on feeling more confident
2,17,10,5,4,5,2,2,5,7,2,4,6,2,6,7,1,5,6
2,18,10,3,5,3,3,5,3,5,2,5,6,1,4,6,2,4,5
2,19,10,7,8,7,3,5,7,8,1,9,11,2,7,9,2,10,9
2,20,10,3,2,5,3,5,3,5,2,3,5,2,6,8,2,6,6
2,11,11,7,7,6,4,4,7,9,2,6,7,1,5,7,2,6,7
2,12,11,7,6,7,4,5,6,8,2,5,7,2,6,8,2,6,7
2,13,11,7,8,5,3,3,6,8,2,9,11,2,6,7,1,7,8
2,14,11,7,6,6,3,3,8,9,1,5,6,1,6,7,1,6,7
2,15,11,8,6,8,3,3,8,10,2,5,6,1,8,10,2,9,8
2,16,11,7,6,8,4,4,6,8,2,6,7,1,9,9,0,8,8
2,17,11,7,6,7,4,4,6,7,1,6,7,1,7,8,1,7,7
2,18,11,4,6,5,4,4,4,5,1,7,8,1,4,5,1,5,6
2,19,11,9,10,9,3,4,10,10,0,10,11,1,8,9,1,10,10
2,20,11,4,3,7,4,4,4,6,2,4,5,1,6,8,2,6,6
2,11,12,9,9,7,5,5,10,10,0,9,11,2,6,7,1,9,9
2,12,12,8,7,9,5,5,8,10,2,6,8,2,9,9,0,8,9
2,13,12,9,10,6,4,5,8,9,1,9,10,1,7,9,2,10,9
2,14,12,8,8,7,4,4,9,9,0,7,9,2,6,7,1,9,8
2,15,12,10,8,10,4,5,9,9,0,7,8,1,9,9,0,7,8
2,16,12,8,7,9,5,5,9,9,0,8,9,1,10,10,0,10,9
2,17,12,9,7,8,4,4,8,9,1,7,8,1,7,8,1,8,8
2,18,12,6,7,7,5,5,6,7,1,7,9,2,8,10,2,7,8
2,19,12,10,10,10,5,5,10,10,0,11,13,2,9,9,0,11,10
2,20,12,6,4,9,4,5,6,7,1,4,5,1,9,9,0,7,7
3,21,9,4,5,4,3,3,4,6,2,4,5,1,4,5,1,6,5
3,22,9,4,3,4,3,5,5,6,1,4,5,1,3,5,2,5,5
3,23,9,3,2,4,3,4,3,5,2,1,3,2,4,5,1,4,4
3,24,9,5,6,5,2,4,5,7,2,5,6,1,5,6,1,6,6
3,25,9,3,3,3,2,5,3,4,1,4,6,2,4,6,2,5,5
3,26,9,2,1,2,3,3,2,4,2,1,3,2,1,3,2,3,3
3,27,9,2,3,3,1,1,2,4,2,2,4,2,2,4,2,5,4
3,28,9,4,5,5,1,5,3,5,2,6,8,2,5,6,1,6,6
3,29,9,4,3,3,1,1,3,4,1,4,5,1,3,4,1,4,4
3,30,9,3,4,2,1,1,4,6,2,3,5,2,1,2,1,4,4
3,21,10,6,7,6,2,2,5,6,1,8,10,2,5,7,2,8,7
3,22,10,5,4,5,2,4,4,6,2,5,6,1,5,7,2,5,6
3,23,10,5,4,5,3,3,4,5,1,4,5,1,5,6,1,6,5
3,24,10,7,8,6,3,3,6,7,1,7,9,2,5,6,1,6,7
3,25,10,5,5,4,3,5,5,6,1,6,7,1,5,6,1,5,6
3,26,10,4,3,3,2,5,4,6,2,4,6,2,4,6,2,5,6
3,27,10,4,5,5,2,5,3,5,2,6,8,2,4,5,1,6,6
3,28,10,6,6,7,3,4,5,6,1,6,8,2,8,9,1,8,7
3,29,10,6,5,5,3,3,5,7,2,6,7,1,5,6,1,6,6
3,30,10,5,5,3,2,3,4,5,1,4,5,1,3,5,2,5,5
3,21,11,7,8,8,3,5,7,9,2,9,10,1,8,9,1,9,9
3,22,11,6,6,6,3,4,7,8,1,7,8,1,7,9,2,9,8
3,23,11,7,5,7,3,3,8,10,2,4,6,2,8,9,1,7,8
3,24,11,8,10,7,4,4,9,9,0,10,12,2,6,7,1,8,9
3,25,11,6,7,5,3,5,6,8,2,8,10,2,6,7,1,8,8
3,26,11,6,4,5,3,5,6,7,1,4,6,2,5,6,1,6,6
3,27,11,6,7,6,3,4,6,7,1,7,8,1,5,6,1,7,7
3,28,11,8,7,8,3,4,7,9,2,6,8,2,9,9,0,7,8
3,29,11,7,7,7,3,5,7,8,1,8,10,2,6,8,2,8,8
3,30,11,6,7,4,3,3,7,8,1,6,7,1,4,6,2,7,7
4,31,9,3,3,4,1,4,2,3,1,4,5,1,3,5,2,4,4
4,32,9,5,4,6,3,5,6,7,1,3,4,1,5,7,2,5,6
4,33,9,4,5,4,3,3,3,5,2,4,5,1,3,5,2,6,5
4,34,9,4,5,3,2,4,4,5,1,6,8,2,3,5,2,6,6
4,35,9,4,5,5,1,5,5,7,2,4,6,2,4,6,2,7,6
4,36,9,2,1,1,2,4,2,4,2,1,2,1,0,1,1,2,2
4,37,9,2,1,2,2,3,3,4,1,2,3,1,1,2,1,4,3
4,38,9,4,4,3,2,2,4,5,1,4,5,1,4,5,1,6,5
4,39,9,3,4,3,1,5,4,5,1,4,5,1,4,6,2,6,5
4,40,9,4,3,3,1,3,4,6,2,4,5,1,3,5,2,5,5
4,31,10,5,5,6,2,3,4,6,2,6,8,2,6,7,1,7,7
4,32,10,7,6,7,2,5,6,8,2,5,7,2,8,9,1,8,8
4,33,10,6,7,5,2,2,5,7,2,7,8,1,4,5,1,6,6
4,34,10,5,6,5,3,3,4,5,1,5,7,2,5,6,1,6,6
4,35,10,5,7,7,2,3,5,7,2,7,8,1,6,8,2,8,7
4,36,10,4,3,3,3,3,5,6,1,4,6,2,2,3,1,6,5
4,37,10,3,3,3,2,5,2,4,2,4,5,1,4,5,1,4,4
4,38,10,6,6,5,3,4,5,7,2,6,8,2,5,7,2,6,7
4,39,10,5,6,4,2,3,5,6,1,7,9,2,5,7,2,7,7
4,40,10,6,4,5,2,5,6,8,2,5,7,2,4,6,2,7,7
5,41,9,4,4,5,2,2,3,5,2,5,7,2,5,7,2,6,6
5,42,9,4,5,5,3,5,3,4,1,5,6,1,6,8,2,6,6
5,43,9,3,4,3,3,3,4,6,2,3,5,2,2,3,1,3,4
5,44,9,3,3,3,1,5,3,4,1,3,5,2,3,4,1,4,4
5,45,9,2,3,1,1,4,2,4,2,3,5,2,1,3,2,3,4
5,46,9,4,5,4,1,3,4,5,1,5,6,1,3,4,1,5,5
5,47,9,5,5,5,1,2,4,5,1,5,6,1,6,7,1,5,6
5,48,9,5,5,6,2,4,6,7,1,4,6,2,6,7,1,6,6
5,49,9,2,1,2,2,3,1,2,1,0,1,1,3,4,1,2,2
5,50,9,3,4,2,1,5,2,3,1,4,5,1,2,4,2,4,4
